host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561460.2566545,ENC,42850,0,,0,0
1788561460.276587,ENC,42870,0,,0,0
1788561460.296507,ENC,42890,0,,0,0
1788561460.3164244,ENC,42910,0,,0,0
1788561460.3363123,ENC,42930,0,,0,0
1788561460.3562875,ENC,42950,0,,0,0
1788561460.3761303,ENC,42970,0,,0,0
1788561460.39596,ENC,42990,0,,0,0
1788561460.4158971,ENC,43010,0,,0,0
1788561460.4357727,ENC,43030,0,,0,0
1788561460.4556258,ENC,43050,0,,0,0
1788561460.4755492,ENC,43070,0,,0,0
1788561460.4949033,ENC,43090,0,,0,0
1788561460.5147903,ENC,43110,0,,0,0
1788561460.5346985,ENC,43130,0,,0,0
1788561460.5546808,ENC,43150,0,,0,0
1788561460.57452,ENC,43170,0,,0,0
1788561460.5944967,ENC,43190,0,,0,0
1788561460.6143644,ENC,43210,0,,0,0
1788561460.6342576,ENC,43230,0,,0,0
1788561460.6541362,ENC,43250,0,,0,0
1788561460.674043,ENC,43270,0,,0,0
1788561460.6939566,ENC,43290,0,,0,0
1788561460.7138267,ENC,43310,0,,0,0
1788561460.7337017,ENC,43330,0,,0,0
1788561460.7536638,ENC,43350,0,,0,0
1788561460.7735157,ENC,43370,0,,0,0
1788561460.7936528,ENC,43390,0,,0,0
1788561460.8136508,ENC,43410,0,,0,0
1788561460.8338027,ENC,43430,0,,0,0
1788561460.8536882,ENC,43450,0,,0,0
1788561460.873606,ENC,43470,0,,0,0
1788561460.893049,ENC,43490,0,,0,0
1788561460.9133928,ENC,43510,0,,0,0
1788561460.9334555,ENC,43530,0,,0,0
1788561460.953202,ENC,43550,0,,0,0
1788561460.9730675,ENC,43570,0,,0,0
1788561460.9929845,ENC,43590,0,,0,0
1788561461.012985,ENC,43610,0,,0,0
1788561461.0323079,ENC,43630,0,,0,0
1788561461.0527062,ENC,43650,0,,0,0
1788561461.0726259,ENC,43670,0,,0,0
1788561461.0925238,ENC,43690,0,,0,0
1788561461.1124072,ENC,43710,0,,0,0
1788561461.1322927,ENC,43730,0,,0,0
1788561461.1518488,ENC,43750,0,,0,0
1788561461.172101,ENC,43770,0,,0,0
1788561461.1919854,ENC,43790,0,,0,0
1788561461.211974,ENC,43810,0,,0,0
1788561461.2318015,ENC,43830,0,,0,0
1788561461.251685,ENC,43850,0,,0,0
1788561461.2716153,ENC,43870,0,,0,0
1788561461.2915263,ENC,43890,0,,0,0
1788561461.311387,ENC,43910,0,,0,0
1788561461.3313272,ENC,43930,0,,0,0
1788561461.351226,ENC,43950,0,,0,0
1788561461.371104,ENC,43970,0,,0,0
1788561461.3910167,ENC,43990,0,,0,0
